LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),MBPP (unsanitized) pass@1,MBPP+ (unsanitized) pass@1,MBPP (sanitized) pass@1,MBPP+ (sanitized) pass@1,MBPP (unsanitized) pass@10,MBPP+ (unsanitized) pass@10,MBPP (sanitized) pass@10,MBPP+ (sanitized) pass@10,GoogleBLEU (unsanitized),CodeBLEU (unsanitized),SacreBLEU (unsanitized),GoogleBLEU (sanitized),CodeBLEU (sanitized),SacreBLEU (sanitized)
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,19.00252890586853,1923.9941721941268,222.39672069839102,50.535040428290046,99.22099841565462,11.705788135528564,2.7054576260817313,0.00014316939127409115,7.534228311573641e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,16.560894012451172,1100.0382250299035,193.8154683043657,46.25403700293518,64.90013665012796,11.705788135528564,2.691237430431437,8.73322150210444e-05,5.273399790819529e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,10.129421949386597,675.7587596065706,118.55288738376792,25.058020046131446,66.71465442425705,11.705788135528564,2.474154412707794,5.339672798196973e-05,5.2714486817486415e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,10.13159728050232,674.2737154185246,118.57896813283297,26.340021071469266,66.55379177562794,11.705788135528564,2.6001605627438593,5.33851956855662e-05,5.26917861098792e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,31.810583353042603,2081.576109259542,372.30057462758987,77.87306229936064,64.93181129447784,11.705788135528564,2.303289502529756,0.00016498920811224504,5.186613721639412e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,31.001264810562134,2030.2684002134142,362.8309407070029,81.66906533606522,64.87583378873475,11.705788135528564,2.842255262546916,0.00016127584498605612,5.202234359519081e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,55.748356342315674,3636.222847975962,652.4907588799895,133.70810696633484,64.9272720239899,11.705788135528564,2.2243378631888113,0.00028820062393646593,5.1696703337190205e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,28.626760959625244,1876.327203060546,335.05836177751377,65.28905223097681,64.90911142524301,11.705788135528564,2.266055331949081,0.00014836645792707816,5.182788864459098e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,28.94849395751953,1895.6263634998666,338.8208272924479,67.44905395965617,64.91649129714867,11.705788135528564,2.4083360891386754,0.00015001010236112116,5.181965686410267e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
deepseek-coder-6.7b-instruct.Q5_K_M,Mbpp/2,48.243162393569946,3147.997145395737,564.6416084606009,114.74409179532685,64.9247117367638,11.705788135528564,2.469062102571885,0.000249423097917808,5.170123299194254e-06,0.193,0.167,0.610,0.517,0.685,0.595,0.873,0.767,0.10169154342899807,0.32703718912467183,9.183340104304373,0.2552425700666436,0.2602328112384431,27.36266513297783
